Character,Dialogue,Sentiment,Sentiment Category
Benjamin Clawhauser," enters the room catching his breath im sorry sir... i tried to stop her shes super slippery... leaves i gotta go sit down...
",0.34,Positive
Chief Bogo," calmly maam stands up walks up to mrs.otterton as he speaks as ive told you were doing everything we can.
",0.3182,Positive
Mrs. Otterton," she shows a picture of herself emmitt and two otter children one holding a soccer ball. my husband has been missing for ten days. his name is emmitt otterton.
",-0.296,Negative
Chief Bogo," yes i know.
",0.4019,Positive
Mrs. Otterton," hes a florist. we have two beautiful children. he would never just disappear.
",0.6774,Positive
Chief Bogo," maam our detectives are very busy.
",0.0,Neutral
Mrs. Otterton," please! theres gotta be somebody to find my emmitt.
",0.3802,Positive
Chief Bogo," mrs. otterton
",0.0,Neutral
Judy Hopps," i will find him. she gets down off the chair.
",0.0,Neutral
Mrs. Otterton," happily and gratefully oh thank you! with a light chuckle of relief she rushes over to hug judy bless you bless you little bunny! she sobs for a moment. judy mildly surprised at first returns the hug chuckling a bit as well. chief bogo grunts furiously at her. oh! heh. mrs. otterton gives judy her picture. take this find my emmitt. bring him home to me and my babies please. judy nods
",0.9791,Positive
Chief Bogo," ahem! mrs. otterton please wait out here.
",0.3802,Positive
Mrs. Otterton," leaves the room of course. oh thank you both so much.
",0.3612,Positive
Chief Bogo," one second. after mrs. otterton leaves chief bogo closes the door and turns to judy furiously clenching his teeth youre... fired.
",-0.7579,Negative
Judy Hopps," what? why?!
",0.0,Neutral
Chief Bogo," insubordination! now im going to open this door and youre going to tell that otter youre a former meter maid with delusions of grandeur as he speaks judy lifts her arms in exasperation who will not be taking the case. opens the door revealing mrs. otterton with bellwether
",0.5707,Positive
Dawn Bellwether," i just heard officer hopps is taking the case!
",0.0,Neutral
Chief Bogo," surprised smiles nervously assistant mayor bellwether!
",0.5707,Positive
Dawn Bellwether," takes out her phone and texts the mammal inclusion initiative is really starting to pay off. chuckles mayor lionheart is just gonna be so jazzed!
",0.1848,Positive
Chief Bogo," no no. lets not tell the mayor just yet!
",-0.3595,Negative
Dawn Bellwether," and sent it and it is done so i did do that. chief bogo face palms annoyed grunting to judy all right well id say the case is in good hands. us little guys really need to... stick together right?
",0.34,Positive
Judy Hopps," like glue.
",0.3612,Positive
Dawn Bellwether," laughs good one. yeah. just call me if you ever need anything okay? youve always got a friend at city hall judy. alright. byebye!
",0.9286,Positive
Judy Hopps," thank you maam.
",0.3612,Positive
Chief Bogo," i will give you 48 hours.
",0.0,Neutral
Judy Hopps," stoked and excited yes!
",0.6588,Positive
Chief Bogo," thats two days to find emmitt otterton.
",0.0,Neutral
Judy Hopps," okay.
",0.2263,Positive
Chief Bogo," but! you strike out you resign.
",-0.63,Negative
Judy Hopps," enthusiasm drops oh. uh... okay. deal.
",0.5859,Positive
Chief Bogo," splendid. opens the door clawhauser will give you the complete case file.
",0.5859,Positive
Benjamin Clawhauser," here you go! one missing otter! judy opens the file revealing little information.
",-0.4184,Negative
Judy Hopps," thats it?!
",0.0,Neutral
Benjamin Clawhauser," yikes! that is the smallest case file ive ever seen. leads: none witnesses: none and youre not in the computer system yet so resources: none! laughs as judys ears droop oh i hope you didnt stake your career on cracking this one! donut sprinkles fall off the donut and land on the file case
",0.2226,Positive
Judy Hopps," brushes off the donut sprinkles after they fell off the donut okay. last known sighting. judy looks at the picture and gets annoyed by the slurping noises. clawhauser is drinking a bottle of cub soda that is totally empty. can i just borrow... thank you. takes the bottle and uses it as a magnifying glass. clawhauser still has the straw in his mouth. judy sees emmitt holding a pawpsicle. pawpsicle...
",-0.0754,Negative
Benjamin Clawhauser," taking the straw out of his mouth the murder weapon...
",-0.7845,Negative
Judy Hopps," to herself get your pawpsicle...
",0.0,Neutral
Benjamin Clawhauser," whispered slightly waving the straw near judys direction as though understanding yeah cause that... then gets confused what does that mean?
",-0.0258,Neutral
Judy Hopps," it means... she moves the bottle and sees nick in the background i have a lead.
",0.0,Neutral
Judy Hopps," hi! hello! its me again.
",0.0,Neutral
Nick Wilde," hey its officer toottoot!
",0.0,Neutral
Judy Hopps," hahaho... no. actually its officer hopps and im here to ask you some questions about a case.
",0.0,Neutral
Nick Wilde," what happened meter maid? did someone steal a traffic cone? it wasnt me. he keeps walking. annoyed judy blares the carts siren and drives on the sidewalk in front of nick. he stops getting annoyed. hey carrots youre gonna wake the baby. i gotta get to work.
",-0.8541,Negative
Judy Hopps," hops out of the car with the file and a carrot pen this is important sir. i think your ten dollars worth of pawpsicles can wait.
",0.4019,Positive
Nick Wilde," ha! i make two hundred bucks a day fluff. three hundred and sixtyfive days a year since i was twelve. and time is money. hop along.
",0.0,Neutral
Judy Hopps," please just look at the picture. shows a closeup picture of emmitt with a pawpsicle you sold mr. otterton that pawpsicle right? do you know him?
",0.3939,Positive
Nick Wilde," smirks i know everybody. and i also know that somewhere theres a toy store missing its stuffed animal. so why dont you get back to your box?
",-0.296,Negative
Judy Hopps," her smiles drops then becomes serious fine. then well have to do this the hard way.
",0.6486,Positive
Nick Wilde," stops smiling looks down did you just boot my stroller?
",0.34,Positive
Judy Hopps," nicholas wilde you are under arrest!
",-0.4003,Negative
Nick Wilde," scoffs amused for what? mockingly hurting your feewings?
",0.1179,Positive
Judy Hopps," smiles slyly felony tax evasion. nicks smile drops flabbergasted and his eyes widen as judy writes yeeaah... two hundred dollars a day three hundred and sixtyfive days a year since you were twelve thats two decades so times twenty which is... one million four hundred sixty thousand  i think.  i mean chuckles i am just a dumb bunny but we are good at multiplying. anyway according to your tax forms you reported let me see here zero! nicks face freezes in fear unfortunately lying on a federal form is a punishable offense. five years jail time. judys ears droop
",-0.9432,Negative
Nick Wilde," regains composure well its my word against yours.
",0.2732,Positive
Nick Wilde," through carrot pen ...two hundred bucks a day fluff. three hundred and sixtyfive days a year since i was twelve.
",0.0,Neutral
Judy Hopps," actually its your word against yours. and if you want this pen youre going to help me find this poor missing otter or the only place youll be selling pawpsicles is the prison cafeteria. grins its called a hustle sweetheart. nick shows a stunned look
",-0.0836,Negative
Finnick," she hustled you. opens the stroller laughing she hustled you good! youre a cop now nick! youre gonna need one of these. slaps his police sticker on nicks shirt nick frowns have fun working with the fuzz! leaves still laughing
",0.9257,Positive
Judy Hopps," to nick start talking.
",0.0,Neutral
Nick Wilde," sighs i dont know where he is i only saw where he went.
",0.0,Neutral
Judy Hopps," great! lets go! gets in her car
",0.6892,Positive
Nick Wilde," grins its not exactly a place for a cute little bunny.
",0.5994,Positive
Judy Hopps," annoyed dont call me cute! get in the car.
",-0.6566,Negative
Nick Wilde," smirking okay youre the boss. joins judy
",0.2263,Positive
Yax," ohm... ohm... ohm...
",0.0,Neutral
Judy Hopps," ahem. hi. uh hello.
",0.0,Neutral
Yax," loudly over judy trying to get his attention ohm... ohm... ohm...
",0.0,Neutral
Judy Hopps," hello? hello? hello!
",0.0,Neutral
Yax," hmm?
",0.0,Neutral
Judy Hopps," hello! my name is...
",0.0,Neutral
Yax," ohhh yknow im gonna hit the pause button right there cause were all good on bunny scout cookies.
",0.4404,Positive
Judy Hopps," uh... no. im officer hopps zpd. im looking for a missing mammal emmitt otterton right here who may have frequented this establishment? takes out the otterton picture and shows it to yax. he looks at it inhales and sneezes making the flies surrounding him buzz loudly
",-0.296,Negative
Yax," yeah old emmitt! chuckles handing the picture back to judy who wipes off the germs. havent seen him in a couple of weeks. he wags his tail but hey you should talk to his yoga instructor. id be happy to take you back. walks up to some doors as judy and nick follow
",0.8172,Positive
Judy Hopps," oh thank you so much id appreciate that more than you can imagine itd be such an  judy sees yaxs rear end showing that hes completely naked she covers her eyes ohhhh you are naked!
",0.6962,Positive
Yax," huh? he sways his hips oh for sure were a naturalist club! chuckles
",0.5707,Positive
Nick Wilde," yeah in zootopia anyone can be anything. and these guys? they be naked. judy seems disturbed by it yax opens the doors.
",-0.1027,Negative
Yax," nangis just on the other side of the pleasure pool.
",0.5719,Positive
Nick Wilde," oh boy. does this make you uncomfortable? because if so theres no shame in calling it quits.
",0.127,Positive
Judy Hopps," snaps out of it and enters the club yes there is.
",0.4019,Positive
Nick Wilde," sarcastically follows her boy thats the spirit.
",-0.1027,Negative
Yax," yeah some mammals say the naturalist life is weird but you know what i say is weird? clothes on animals! yax leads judy and nick to an elephant leading a yoga class with a zebra a giraffe and an armadillo. judy winces and groans. here we go. as you can see nangis an elephant so shell totally remember everything. hey nangi! these dudes have some questions about emmitt the otter.
",-0.3365,Negative
Nangi," who?
",0.0,Neutral
Yax," uh emmitt otterton. been coming to your yoga class for like six years. judy shows the picture while trying to avoid looking at her nudity.
",0.0772,Positive
Nangi," i have no memory of this beaver.
",-0.296,Negative
Judy Hopps," uh hes an otter actually.
",0.0,Neutral
Yax," he was here a couple of wednesdays ago remember?
",0.0,Neutral
Nangi," bending over looking through her legs nope.
",0.0,Neutral
Yax," yeah he was wearing a green cableknit sweater vest and a new pair of corduroy slacks. judy starts taking notes oh and a paisley tie sweet windsor knot. real tight. remember that nangi?
",0.6369,Positive
Nangi," standing on one foot no.
",0.0,Neutral
Yax," yeah and we both walked him out and he got into this big old white car with a silver trim. needed a tuneup the third cylinder wasnt firing. remember that nangi?
",0.5,Positive
Nangi," with her body curled into the shape of a backwards c nope.
",0.0,Neutral
Judy Hopps," um uh you didnt happen to catch the license plate number... did you?
",0.0772,Positive
Yax," oh for sure. it was 29thd03.
",0.3182,Positive
Judy Hopps," writing it down ...03. wow this is a lot of great info thank you.
",0.886,Positive
Yax," told you nangi has a mind like a steel trap. ah i wish i had a memory like an elephant.
",0.6597,Positive
Nick Wilde," well i had a ball. you are welcome for the clue and seeing as how any moron can run a plate i will take that pen and bid you adieu. holds out his paw for the pen
",0.2263,Positive
Judy Hopps," the plate. i cant run a plate. ooh... im not in the system yet.
",0.0,Neutral
Nick Wilde," impatient give me the pen please...
",0.0258,Neutral
Judy Hopps," turns to nick smiling slyly what was it you said? any moron can run a plate? gosh if only there were a moron around who were up to the task.
",-0.5803,Negative
Nick Wilde," frustrated rabbit i did what you asked! you cant keep me on the hook forever.
",-0.5707,Negative
Judy Hopps," not forever. well i only have 36 hours left to solve this case. so can you run the plate or not?
",-0.0036,Neutral
Nick Wilde," glares at judy then grins actually i just remembered i have a pal at the dmv.
",0.2263,Positive
Nick Wilde," flash is the fastest guy in there. you need something done hes on it.
",0.0,Neutral
Judy Hopps," i hope so. we are really fighting the clock and every minute counts. judy notices that all of the workers are sloths wait theyre all sloths?!
",0.1025,Positive
Judy Hopps," you said this was gonna be quick!
",0.0,Neutral
Nick Wilde," in mock surprise what are you saying that because hes a sloth he cant be fast? i thought in zootopia anyone could be anything. they walk up to flash flash flash hundredyard dash! buddy its nice to see ya.
",0.3382,Positive
Flash Slothmore," nice to... see you... too.
",0.4215,Positive
Nick Wilde," hey flash id love you to meet my friend... to judy uh darling ive forgotten your name. judy gives nick a look
",0.8834,Positive
Judy Hopps," hmmm. inhales officer judy hopps zpd. how are you?
",0.0,Neutral
Flash Slothmore," i am... doing... just...
",0.0,Neutral
Judy Hopps," fine?
",0.2023,Positive
Flash Slothmore," ...as well... as... i can... be.
",0.2732,Positive
Judy Hopps," hmm.
",0.0,Neutral
Flash Slothmore," what...
",0.0,Neutral
Nick Wilde," to judy hang in there.
",0.0,Neutral
Flash Slothmore," ...can i... do...
",0.0,Neutral
Judy Hopps," well i was hoping you could run a plate
",0.5994,Positive
Flash Slothmore," ...for you...
",0.0,Neutral
Judy Hopps," well i was hoping you could
",0.5994,Positive
Flash Slothmore," ...today?
",0.0,Neutral
Judy Hopps," well i was hoping you could run a plate for us. we are in a really big hurry!
",0.636,Positive
Flash Slothmore," sure. whats the... plate...
",0.3182,Positive
Judy Hopps," 29t
",0.0,Neutral
Flash Slothmore," ...number?
",0.0772,Positive
Judy Hopps," sighs faintly 29thd03.
",0.0,Neutral
Flash Slothmore," 2... 9...
",0.0,Neutral
Judy Hopps," thd03.
",0.0,Neutral
Flash Slothmore," ...t...
",0.0,Neutral
Judy Hopps," her ears droop. shes starting to lose her patience hd03.
",-0.4019,Negative
Flash Slothmore," ...h...
",0.0,Neutral
Judy Hopps," she briefly looks away and scowls d03.
",0.0,Neutral
Flash Slothmore," ...d...
",0.0,Neutral
Judy Hopps," slightly strained mmhmm 03.
",-0.3415,Negative
Flash Slothmore," ...0...
",0.0,Neutral
Judy Hopps," desperately 3!
",-0.4389,Negative
Nick Wilde," hey flash wanna hear a joke?
",0.296,Positive
Judy Hopps," to nick no!
",0.0,Neutral
Flash Slothmore," sure.
",0.3182,Positive
Nick Wilde," okay. inhales what do you call a threehumped camel? he holds up three fingers
",0.2263,Positive
Flash Slothmore," i dont... know. what... do... you call... a...
",0.0,Neutral
Judy Hopps," losing her patience trying to move the joke along threehumped camel.
",-0.1027,Negative
Flash Slothmore," ...threehumped... camel?
",0.0,Neutral
Nick Wilde," pregnant! laughs elbowing judy  who has an annoyed look and briefly glares at nick. flash slowly smiles opening his mouth and laughs slowly
",0.8016,Positive
Flash Slothmore," ha... ha... heh... ha...
",-0.1531,Negative
Judy Hopps," ha ha! yes very funny very funny. can we please just focus on the task?
",0.9238,Positive
Flash Slothmore," turns the other way hey...
",0.0,Neutral
Judy Hopps," caught by surprise wwait wait wait!
",0.3382,Positive
Flash Slothmore," ...priscilla. priscilla turns to him slowly
",0.0,Neutral
Judy Hopps," oh no!
",0.0,Neutral
Flash Slothmore," what... do...
",0.0,Neutral
Judy Hopps," exhales a small gasp no...!
",0.0,Neutral
Flash Slothmore," ...you call...
",0.0,Neutral
Judy Hopps," over flash a threehumped camel? pregnant!
",0.0,Neutral
Flash Slothmore," ...a three...
",0.0,Neutral
Judy Hopps," okay! great! we got it! please just...
",0.8472,Positive
Flash Slothmore," ...humped...
",0.0,Neutral
Flash Slothmore," here...
",0.0,Neutral
Judy Hopps," yes! yeah yeah yeah hurry.
",0.8221,Positive
Flash Slothmore," ...you...
",0.0,Neutral
Judy Hopps," hastily grabs the paper thank you! 29thd03...
",0.4199,Positive
Flash Slothmore," ...go.
",0.0,Neutral
Judy Hopps," its registered to... tundratown limo service! a limo took otterton! and the limos in tundratown! quickly runs out its in tundratown!
",0.0,Neutral
Nick Wilde," to flash way to hustle bud. i love ya! i owe ya! judy and nick walk out of the dmv
",0.6988,Positive
Judy Hopps," hurry! we gotta beat the rush hour and looks outside shocked as she sees that its already nighttime. a cricket chirps offscreen its night?! her voice slightly echoes
",-0.4374,Negative
Judy Hopps," closed! great.
",0.6588,Positive
Nick Wilde," hm. and i will betcha you dont have a warrant to get in hmm? darn it. its a bummer.
",-0.3818,Negative
Judy Hopps," you wasted the day on purpose!
",-0.5411,Negative
Nick Wilde," madam points to his police sticker i have a fake badge. i would never impede your pretend investigation. 
",-0.4222,Negative
Judy Hopps," its not a pretend investigation. takes out the otterton picture look see? see him? this otter is missing.
",-0.3103,Negative
Nick Wilde," well then they shouldve gotten a real cop to find him.
",0.2732,Positive
Judy Hopps," really upset puts the picture away what is your problem? does seeing me fail somehow make you feel better about your own sad miserable life?
",-0.9162,Negative
Nick Wilde," it does 100. grins now since youre sans warrant i guess were... done?
",0.2263,Positive
Judy Hopps," sighs fine. we are done. holds out her pen heres your pen. grinning nick starts to grab the pen until judy throws it over the other side of the fence
",0.5106,Positive
Nick Wilde," hey! the pen lands in the snow first off you throw like a bunny. second youre a very sore loser. starts climbing the fence see you later officer fluff! so sad this is over. i wish i couldve helped more! nick jumps down but is shocked to find judy before him holding the pen
",-0.788,Negative
Judy Hopps," the thing is camera zooms out revealing judy dug underneath the fence you dont need a warrant if you have probable cause and im pretty sure i saw a shifty lowlife climbing the fence. so youre helping plenty! come on! heads off smiling cheekily with nick glaring at her. hes annoyed with her but hes starting to respect her as an adversary. judy uses her phone light and wipes the snow off the license plate 29thd03... this is it! nick opens the passenger door and judy opens the drivers door. cold mist comes out from the car. judy looks around the pedal and the brake and sees a strand of white hair. she picks it up with a pair of tweezers. polar bear fur. nick nods rolling his eyes. he exhales as shown by his visible breath. he then opens the glove compartment and suddenly jumps back in alarm.
",0.6668,Positive
Nick Wilde," oh my god!
",0.3382,Positive
Judy Hopps," what? what?! nick takes out a bunch of cds. one of them has a picture of a smiling vole on it.
",0.565,Positive
Nick Wilde," the velvety pipes of jerry vole! grins judy looks at him annoyed puts the polar bear fur in a plastic bag but on cd. who still uses cds? tosses the cds back
",-0.1635,Negative
Nick Wilde," carrots? if your otter was here he had a very bad day. judy goes to take a look. the back is ripped and claw marks are shown everywhere.
",-0.5849,Negative
Judy Hopps," those are... claw marks. you ever seen anything like this?
",0.3612,Positive
Nick Wilde," no. judy looks around and sees a wallet
",0.0,Neutral
Judy Hopps," oh wait. look! judy and nick hop down. judy looks at the wallet seeing mr. ottertons picture this is him. emmitt otterton. he was definitely here. what do you think happened?
",0.4574,Positive
Nick Wilde," well now wait a minute. polar bear fur ratpack music fancy cup? nick suddenly shows fear and starts putting the cup back and organizing the cups frantically i know whose car this is we gotta go!
",-0.5848,Negative
Judy Hopps," why? whose car is it?
",0.0,Neutral
Nick Wilde," the most feared crime boss in tundratown. they call him mr. big and he does not like me flails his arms around and points with both hands so we gotta go!
",-0.8649,Negative
Judy Hopps," im not leaving. this is a crime scene.
",-0.5423,Negative
Nick Wilde," grabs judy and starts to head out well its gonna be an even bigger crime scene if mr. big finds me here so were leaving right now! nick opens the door where two polar bears are waiting outside. nick recoils and jumps back startled oh gah! he tries to hide his nervousness by looking suave raymond! and is that kevin? long time no see! and speaking of no see how about you forget you saw pointing at himself me. huh? for old times sake? raymond and kevin grab judy and nick by their necks thats a no.
",-0.8752,Negative
Judy Hopps," whispers what did you do that made mr. big so mad at you?
",-0.6269,Negative
Nick Wilde," whispers i um... i may have sold him a very expensive wool rug that was made from the fur of a skunkssss... butt. judy briefly looks at him with a shocked look on her face before it turns into one of resignation
",-0.5423,Negative
Judy Hopps," oh sweet cheese and crackers.
",0.4588,Positive
Judy Hopps," whispers is that mr. big?
",0.0,Neutral
Nick Wilde," whispers no.
",0.0,Neutral
Judy Hopps," what about him? is that him?
",0.0,Neutral
Nick Wilde," no!
",0.0,Neutral
Judy Hopps," gasps at the sight of him thats gotta be him.
",0.0,Neutral
Nick Wilde," whispering through gritted teeth stop talking stop talking stop talking!
",-0.7088,Negative
Judy Hopps," tilts her head slightly huh.
",0.0,Neutral
Nick Wilde," mr. big sir this is a simple misunder mr. big grunts and holds out his hand showing a ring on his finger oh here! nick kisses the ring ahh. this is a simple misunderstanding.
",0.6114,Positive
Mr. Big," grunts speaking in a marlon brando godfather style voice you come here unannounced on the day my daughter is to be married.
",0.0,Neutral
Nick Wilde," well actually we were brought here against our will so... laughs nervously mr. big raises an eyebrow slightly the point is ii did not know that it was your car and i certainly did not know about your daughters wedding!
",0.75,Positive
Mr. Big," hmm. i trusted you nicky. i welcomed you into my home. nick hangs his head in shame and guilt we broke bread together. grandmama made you a cannoli. shows a picture of an elderly shrew and how did you repay my generosity? with a rug. made from the butt of a skunk. looks down shaking his head slightly a skunk butt rug. you disrespected me. you disrespected my grandmama who i buried in that skunk butt rug. koslov crosses his chest in prayer and looks up gloomily. i told you never to show your face here again but here you are snooping around with this... looks at judy what are you a performer? whats with the costume?
",-0.6046,Negative
Judy Hopps," sir i am a co
",0.0,Neutral
Nick Wilde," interrupts mime! she is a mime! this pushes judys shoulder roughly glaring and pointing at her mime cannot speak! you cant speak if youre a mime!
",-0.5374,Negative
Judy Hopps," no i am a cop. nick sighs and facepalms judy shows the otterton picture and im on the emmitt otterton case and my evidence puts him in your car! gets her face close to mr. big so intimidate me all you want im gonna find out what you did to that otter if its the last thing i do. nick looks at her shocked and facepalms again
",-0.7058,Negative
Mr. Big," grunts then i have only one request: he briefly smiles say hello to grandmama. to the polar bears ice em!
",0.5255,Positive
Nick Wilde," whoa whoa whoa! judy steps away from the desk in fear and confusion just as one of the polar bear guards picks her up by the back of her shirt iiiiii didnt see nothing! im not saying nothing! the other one grabs nicks scruff and pulls him away he digs his claws in the desk leaving claw marks.
",-0.7412,Negative
Mr. Big," and you never will.
",0.0,Neutral
Nick Wilde," please!
",0.3802,Positive
Judy Hopps," put me down! the polar bears move a carpet and open a trap door revealing an icy pit.
",-0.3802,Negative
Nick Wilde," no no no no no! if youre mad at me about the rug ive got more rugs! fru fru enters the room wearing a wedding dress.
",0.2612,Positive
Fru Fru," oh daddy! she twirls holding his hand its time for our dance! she sees the polar bears holding judy and nick above the icy pit and gets upset ugh! what did we say? no icing anyone at my wedding!
",-0.6776,Negative
Mr. Big," i have to baby daddy has to. ice em!
",0.0,Neutral
Nick Wilde," no no no!
",0.2914,Positive
Fru Fru," wait. wait! the polar bears stop again shes the bunny that saved my life yesterday! from that giant donut!
",0.3561,Positive
Mr. Big," this bunny?
",0.0,Neutral
Fru Fru," yeah! waves to judy hi!
",0.4184,Positive
Judy Hopps," hi. i love your dress!
",0.6696,Positive
Fru Fru," curtsies aw... thank you!
",0.4199,Positive
Mr. Big," hm. put em down. the polar bears close the trap door and put judy and nick down to judy you have done me a great service. i will help you find the otter. i will take your kindness and pay it forward. he extends his arms with a smile. judy leans forward and mr. big kisses her on both cheeks. nick looks at them dumbfounded as his jaw drops a little.
",0.8957,Positive
Nick Wilde," hmm... he looks at the cake scoffs and uses a tiny fork to cut part of the cake and eats it. he nods his head slightly to the side with a smile apparently liking it
",0.4767,Positive
Mr. Big," otterton is my florist. hes like a part of the family. he had something important he wanted to discuss. thats why i sent that car to pick him up. but he never arrived.
",0.2846,Positive
Judy Hopps," because he was attacked.
",-0.4588,Negative
Mr. Big," no. he attacked. judy and nick are surprised
",-0.2732,Negative
Judy Hopps," otterton?
",0.0,Neutral
Mr. Big," otterton. he went crazy  ripped up the car scared my driver half to death his eyes are visible for a moment and widen as he says this last part and disappeared into the night. he holds his paw out for emphasis
",-0.8779,Negative
Judy Hopps," but hes a sweet little otter.
",0.6124,Positive
Mr. Big," hmm. my child we may be evolved but deep down we are still animals. judy and nick show looks of concern.
",0.0,Neutral
Mr. Big," voiceover you wanna find otterton talk to the driver of the car. his name is manchas. lives in the rainforest district. only he can tell you more.
",0.0,Neutral
Judy Hopps," mr. manchas? judy hopps zpd. we just wanna know what happened to emmitt otterton. the door opens slowly revealing manchas a big black jaguar. judy and nick tensely look at him in suspense.
",-0.296,Negative
Renato Manchas," you should be asking what happened to me! he shows his right eye is badly scratched and bruised. judy and nick give shocked looks.
",-0.69,Negative
Nick Wilde," whoa. a teensy otter did that?
",0.0,Neutral
Judy Hopps," what happened?
",0.0,Neutral
Renato Manchas," he was an animal. a flashback shows manchas driving the limo when he hears snarling and ripping from the back down on all fours. manchas from flashback adjusts his rear view mirror and sees otterton tearing the car seats he was a savage!
",-0.5093,Negative
Renato Manchas," there was no warning. he just kept yelling about the night howlers. over and over the night howlers! nick looks at judy and she shrugs
",0.3244,Positive
Nick Wilde," oh so you know about the night howlers too. good good good. because the night howlers are exactly what we are here to talk about right?
",0.8271,Positive
Judy Hopps," yep. so uh you just open the door and tell us what you know and we will tell you what we know. okay?
",0.4767,Positive
Renato Manchas," okay. manchas closes the door and starts to unlock it
",0.2263,Positive
Judy Hopps," to nick clever fox. nick smirks
",0.4588,Positive
Judy Hopps," mr. manchas? judy opens the door and sees manchas hunched over on the floor twitching and convulsing horribly
",-0.5267,Negative
Nick Wilde," buddy?
",0.0,Neutral
Judy Hopps," are you... okay? manchas stops convulsing and turns to them growling with his teeth bared and pupils now slits run. run! as the rain becomes a downpour judy and nick race away from the house with manchas chasing them like a primal predator
",0.4753,Positive
Nick Wilde," what is wrong with him?!
",-0.5255,Negative
Judy Hopps," i dont know! manchas leaps on the bridge flinging judy and nick in the air until they reach the end of the bridge jump! judy and nick jump as manchas leaps towards them. they land on a branch with nick grunting in pain. come on! judy and nick run on the branch with manchas chasing them. they head into a log and crawl through with manchas tearing it to get at them head down! talks on her radio officer hopps to dispatch! at the zpd clawhauser shows his phone to the wolf prisoner as his microphone is beeping
",-0.8346,Negative
Benjamin Clawhauser," are you familiar with gazelle? greatest singer of our lifetime? angel with horns?  the wolf prisoner shrugs okay hold on. keep watching. whos that beside her? who is it?
",0.5514,Positive
Benjamin Clawhauser," laughs its me! the wolf prisoner shoots a quick glance at the polar bear officer escorting him did you think it was real? it looks so real! slightly disappointed its not its just a new app. sees his microphone beeping hold on a second. clawhauser answers his microphone and gets startled by judys yelling. he juggles the microphone for a moment.
",-0.6863,Negative
Judy Hopps," clawhauser! clawhauser listen to me we have a 1091! jaguar gone savage! vine and tudjunja!
",-0.6331,Negative
Nick Wilde," its tuhhunga! nick grabs judys paw and pulls her. judy slips and the radio falls out of her hands
",0.0,Neutral
Benjamin Clawhauser," okay were sending backup! hopps? hopps!
",0.3578,Positive
Judy Hopps," there! head to the skytrams!
",0.0,Neutral
Nick Wilde," get in! carrots? carrots!
",0.0,Neutral
Judy Hopps," go! manchas moves towards him and the gondola leaves
",0.0,Neutral
Nick Wilde," no no no no! sees manchas coming towards him buddy one predator to another... no no no no! manchas leaps towards nick but is stopped a few feet away from him. judy has handcuffed his leg to a post. now i can tell youre a little tense so im just gonna give you a little personal space! manchas snarls and lunges at nick knocking him backwards into judy. they fall off the ledge judy grabs a vine and grabs nicks paw and they swing back and forth under the bridge. rabbit whatever you do do not let go!
",-0.5271,Negative
Judy Hopps," seeing a vine cluster nearby im gonna let go!
",0.0,Neutral
Nick Wilde," no! you what?!
",0.0,Neutral
Judy Hopps," one... two...
",0.0,Neutral
Nick Wilde," i said do not rabbit! judy lets go and theyre sent flying off and land on vines. they see manchas snarling and growling over the sky tram entrance. nick glances at judy in amazement carrots you saved my life!
",0.7835,Positive
Judy Hopps," well thats what we do here at the zpd
",0.2732,Positive
Chief Bogo," well this should be good.
",0.6124,Positive
Judy Hopps," i thought this was just a missing mammal case but its way bigger. mr. otterton did not just disappear. i believe he and this jaguar they... they went savage sir.
",-0.5575,Negative
Chief Bogo," savage? this isnt the stone age hopps. animals dont go savage.
",-0.1331,Negative
Judy Hopps," i thought so too... till i saw this. judy moves the leaves to show manchas but hes no longer there what? he was right here!
",-0.4753,Negative
Chief Bogo," the savage jaguar?
",-0.4588,Negative
Judy Hopps," sir i know what i saw. he almost killed us!
",-0.6704,Negative
Chief Bogo," or maybe any aggressive predator looks savage to you rabbits. to the zpd lets go! starts to leave judy tries to stop him
",-0.7424,Negative
Judy Hopps," no. wait! sir im not the only one who saw him. looks at nick who is between the officers nick!
",0.0,Neutral
Chief Bogo," scoffs you think im gonna believe a fox?
",0.0,Neutral
Judy Hopps," well he was a key witness and i
",0.2732,Positive
Chief Bogo," two days to find the otter or you quit. that was the deal. holds out his hoof badge. nick looks at judy and chief bogo shocked
",-0.3182,Negative
Judy Hopps," but sir we had
",0.0,Neutral
Chief Bogo," badge!
",0.0,Neutral
Nick Wilde," uh no.
",0.0,Neutral
Chief Bogo," looking at him incredulously what did you say fox?
",0.0,Neutral
Nick Wilde," sorry what i said was no! she will not be giving you that badge. chief bogo grunts irritably look you gave her a... a clown vest a threewheeled jokemobile and two days to solve a case you guys havent cracked in two weeks? chief bogo looks slightly ashamed yeah its no wonder she needed to get help from a fox. none of you guys were gonna help her were you? chief bogo tries to speak but nick cuts him off heres the thing chief. you gave her the 48 hours so technically we still have... counts and holds out his paws ten left to find our mr. otterton and that is exactly what were gonna do. so if youll excuse us we have a very big lead to follow and a case to crack. good day.
",0.4655,Positive
Nick Wilde," officer hopps.
",0.0,Neutral
Judy Hopps," thank you.
",0.3612,Positive
Nick Wilde," never let em see that they get to you.
",0.0,Neutral
Judy Hopps," so... things do get to you?
",0.0,Neutral
Nick Wilde," oh i mean not not anymore but i was small and emotionally unbalanced like you once.
",0.5023,Positive
Judy Hopps," sarcastic rolls her eyes and looks away harhar.
",-0.25,Negative
